title,author,year,journal,abstract,research_areas,label,screened_abstracts,notes
Securing the Demographic and Genetic Future of Tuatara through Assisted Colonization,"Miller, Kimberly A. and Miller, Hilary C. and Moore, Jennifer A. and Mitchell, Nicola J. and Cree, Alison and Allendorf, Fred W. and Sarre, Stephen D. and Keall, Susan N. and Nelson, Nicola J.",2012,Conservation Biology,"Climate change poses a particular threat to species with fragmented distributions and little or no capacity to migrate. Assisted colonization, moving species into regions where they have not previously occurred, aims to establish populations where they are expected to survive as climatic envelopes shift. However, adaptation to the source environment may affect whether species successfully establish in new regions. Assisted colonization has spurred debate among conservation biologists and ecologists over whether the potential benefits to the threatened species outweigh the potential disruption to recipient communities. In our opinion, the debate has been distracted by controversial examples, rather than cases where assisted colonization may be a viable strategy. We present a strategic plan for the assisted migration of tuatara (Sphenodon punctatus), an endemic New Zealand reptile. The plan includes use of extant populations as reference points for comparisons with assisted-colonization populations with respect to demography, phenotypic plasticity, and phenology; optimization of genetic variation; research to fill knowledge gaps; consideration of host and recipient communities; and inclusion of stakeholders in the planning stage. When strategically planned and monitored, assisted colonization could meet conservation and research goals and ultimately result in the establishment of long-term sustainable populations capable of persisting during rapid changes in climate.",Biodiversity \& Conservation; Environmental Sciences \& Ecology,2012.4114,excluded,
OCEAN SPRAWL: CHALLENGES AND OPPORTUNITIES FOR BIODIVERSITY MANAGEMENT IN A CHANGING WORLD,"Firth, Louise B. and Knights, Antony M. and Bridger, Danielle and Evans, Ally J. and Mieszkowska, Nova and Moore, Pippa J. and O'Connor, Nessa E. and Sheehan, Emma V. and Thompson, Richard C. and Hawkins, Stephen J.",2016,NANA,"The last few decades have seen rapid proliferation of hard artificial structures (e.g., energy infrastructure, aquaculture, coastal defences) in the marine environment: ocean sprawl. The replacement of natural, often sedimentary, substrata with hard substrata has altered the distribution of species, particularly non-indigenous species, and can facilitate the assisted migration of native species at risk from climate change. This has been likened to urbanization as a driver of global biotic homogenization in the marine environment the process by which species invasions and extinctions increase the genetic, taxonomic, or functional similarity of communities at local, regional, and global scales. Ecological engineering research showed that small-scale engineering interventions can have a significant positive effect on the biodiversity associated with artificial structures, promoting more diverse and resilient communities on local scales. This knowledge can be applied to the design of multifunctional structures that provide a range of ecosystem services. In coastal regions, hybrid designs can work with nature to combine hard and soft approaches to coastal defence in a more environmentally sensitive manner. The challenge now is to manage ocean sprawl with the dual goal of supporting human populations and activities, simultaneously strengthening ecosystem resilience using an ecosystem-based approach.",Marine \& Freshwater Biology; Oceanography,2016.19,selected,
The Active Reef Restoration Toolbox is a Vehicle for Coral Resilience and Adaptation in a Changing World,"Rinkevich, Baruch",2019,Journal Of Marine Science And Engineering,"The accelerating marks of climate change on coral-reef ecosystems, combined with the recognition that traditional management measures are not efficient enough to cope with climate change tempo and human footprints, have raised a need for new approaches to reef restoration. The most widely used approach is the ``coral gardening{''} tenet; an active reef restoration tactic based on principles, concepts, and theories used in silviculture. During the relatively short period since its inception, the gardening approach has been tested globally in a wide range of reef sites, and on about 100 coral species, utilizing hundreds of thousands of nursery-raised coral colonies. While still lacking credibility for simulating restoration scenarios under forecasted climate change impacts, and with a limited adaptation toolkit used in the gardening approach, it is still deficient. Therefore, novel restoration avenues have recently been suggested and devised, and some have already been tested, primarily in the laboratory. Here, I describe seven classes of such novel avenues and tools, which include the improved gardening methodologies, ecological engineering approaches, assisted migration/colonization, assisted genetics/evolution, assisted microbiome, coral epigenetics, and coral chimerism. These are further classified into three operation levels, each dependent on the success of the former level. Altogether, the seven approaches and the three operation levels represent a unified active reef restoration toolbox, under the umbrella of the gardening tenet, focusing on the enhancement of coral resilience and adaptation in a changing world.",Engineering; Oceanography,2019.1087,selected,
Potential impact of CO2 emissions on the seafloor,"Caramanna, G. and Hennige, S.",2014,Advances In Environmental Research,"Carbon Capture and Storage (CCS) aims to capture CO2 from fossil-fuel sources, transport and store it in suitable geological formations where it will be confined for extremely prolonged times. This is considered a feasible way of mitigating global warming. The seafloor is one of the target areas to safely store large volumes of anthropogenic CO2 through the development of sub-seabed CO2 geological storage. For the UK and large parts of Europe, the North Sea is potentially the most suitable location for CCS projects required to achieve planned targets in the reduction of CO2 emission. Other sub-seabed areas are studied for their storage potential in America and Asia. Even if the technology is considered proven, following the experience gained from the oil industry in using CO2 for enhanced oil recovery (EOR), and a few CO2 storage pilot projects, the risk of CO2 seepage must be addressed considering potential consequences on the marine environment. CO2 emissions may affect the seafloor with physical (e.g. sediments displacement), chemical (e.g. acidification) and biological (e.g. toxicity) effects. Laboratory experiments and the study of natural submarine CO2 vents are contributing to the development of a solid body of knowledge on these effects. The research is largely multidisciplinary, requiring expertise in natural sciences, engineering, chemistry and physics. The main observed consequences of CO2 emissions are a quick and strong acidification of the environment which may lead to the mobilization of pollutants, such as heavy metals, within the sedimentary cover of the seafloor diffusing within the overlying water column. Increased weathering of calcareous substrata is also likely following exposure to CO2- enriched fluids. Potential impacts upon local biodiversity would include displaced dissolved oxygen leading to anoxic regions, and localised ocean acidification. Consequences of increased CO2 would be a reduction in local seawater pH, and in the availability of carbonate ions required by calcifying organisms to grow. Predicted CO2 levels from potential seeps would lead to dissolution of exposed calcium carbonate shells and skeletons of local organisms. While some species would be able to tolerate and survive in such situations, others would die or suffer reduced growth rates. This is particularly pertinent for sessile benthic organisms which could not migrate following the onset of seepage. Naturally occurring submarine CO2 vents located along active tectonic and volcanic areas provide a good example of how organism communities change depending on their proximity to released CO2. For example, coral survival and growth decreases the closer they are to the CO2 vents, with macroalgae dominating the habitat instead. The timing and duration of potential industrial CO2 seeps would preclude the possibility of organism genetic adaptation over successive generations, and as such, possible impacts would depend upon organism acclimation potential and resilience. This chapter reviews the physical, chemical and biological implications of subseabed storage of CO2, and the consequences of potential seep events. Â© 2014 by Nova Science Publishers, Inc. All rights reserved.",NA,2014.11663,selected,
Shaping Improvised Directions for More Efficient Coral Reefs Rehabilitation Attempts,"Abd-Elgawad, Amro and Mohamed, Hala and Hellal, Ahmed and Guo, Haixia and Cai, Rongshuo",2022,Polish Journal Of Environmental Studies,"Coral reefs directly support more than 500 million people globally, usually in poor countries. More than 40 years ago, scientists initiated the discussion on coral reefs habitat destruction. Scientific research has covered various impacts on coral reefs including human pressures and climate change. Evidently ocean warming and acidification emerged as the main threats in the past decades. Currently, tropical coral reefs and their community are expected to face a tremendous increasing risk as global-warming raises. Such emerged combined stressors (human and climatic drivers) lead to slow recovery of corals with expectations of shift in species biodiversity and composition. Hence, coral reefs rehabilitation interventions have strikingly increased over the past decade. These interventions are carried through both, advanced science-based projects (such as coral microbiome engineering, ecological processes recruitment as well as community-based projects. The later occurs because of poor communication among the main three parties in charge (practitioners, MPAs managers with policymakers, and scientists) which in turn has led to unsatisfactory results in these rehabilitation attempts. The analysis of these results here revealed that most deficiencies are related to projects design. Engagement of these respective parties in a scientific framework through ``adopting a cautionary coral reefs rehabilitation strategy{''} will manage the general steps of adaptive decision making, and elude knowledge gaps that exist in certain drivers (Bioecological and Socio-economic) and common deficiencies in projects design. This will help quantifying rehabilitation measures and shaping these improvised directions for more efficient rehabilitation attempts. Avoiding this strategy is highly likely to result in another direct human impact on coral reefs in the Anthropocene. In this review, we summarize the story of past gains with evidence to new shaping of rehabilitative intervention directions for more resolutely efficient attempts. This is represented via simple pathway diagrams, and updated map which indicate the relationship between attempts objective and outcomes and charts showing drivers for success of coral rehabilitation. We attempt to answer the following question: How necessary is it to have a unified coral reefs rehabilitation cautionary strategy with an action plan?",Environmental Sciences \& Ecology,2022.37,selected,
Microbiome engineering: enhancing climate resilience in corals,"Epstein, Hannah E. and Smith, Hillary A. and Torda, Gergely and van Oppen, Madeleine J. H.",2019,Frontiers In Ecology And The Environment,"The world's coral reefs are under unparalleled pressure due to climate change, stimulating research focused on preventing further damage and loss in these ecosystems. The coral microbiome has been widely acknowledged as crucial to coral health and function, playing multiple roles in key biological processes. Recent empirical studies suggest that microbes may contribute to coral host tolerance of thermal stress, and harnessing these benefits through microbiome engineering (ME) may provide a mechanism for enhancing climate resilience in corals. Although coral ME is in its infancy, similar and successful ME approaches that are already underway in other fields - including agriculture, medicine, and wastewater treatment - may serve to guide and improve ME techniques in corals. We discuss current applications of ME, identify three key research priorities that will help elucidate the viability of ME for corals, and consider the implications of using these approaches for reef restoration.",Environmental Sciences \& Ecology,2019.4943,selected,
BIODIVERSITY ON THE BRINK: THE ROLE OF ``ASSISTED MIGRATION{''} IN MANAGING ENDANGERED SPECIES THREATENED WITH RISING SEAS,"Lopez, Jaclyn",2015,Harvard Environmental Law Review,"Coastal areas in the United States are already experiencing the effects of sea-level rise, and the best available science predicts significant additional sea-level rise this century. In addition to sea-level rise, storm intensity and storm surge are also increasing. In some coastal areas, continuing population growth is compounding the threats of climate change and sea-level rise. At the same time, one in six of the federally listed endangered and threatened species in the United States is threatened by sea-level rise. Coastal species face displacement, extirpation, and even extinction due to loss of habitat. They are at risk of being trapped between rising sea levels and human development. This threat is exacerbated by unyielding human-made coastal fortifications. This coalescence of factors leads to the phenomenon known as ``coastal squeeze{''} the loss of transitional habitat between land and sea. For coastal areas this means that some of the most imperiled species will be pushed closer to the brink of extinction. ``Assisted migration{''} refers to one policy prescription to address this problem. The federal government, through the U.S. Fish and Wildlife Service, has the authority and responsibility to consider active and passive assisted migration under the Endangered Species Act in managing species threatened with habitat loss due to sea-level rise. The federally protected Florida panther, logger-head sea turtle, Key tree-cactus, and Lower Keys marsh rabbit inhabit critically imperiled habitat in south Florida and are analyzed to examine this issue from the perspective of species from differing taxa, habitat types, and natural histories. This Article concludes that assisted migration, coupled with preserve and corridor protection and dramatic reductions in greenhouse gas emissions, are necessary for the conservation of imperiled species threatened with sea-level rise.",Environmental Sciences \& Ecology; Government \& Law,2015.866,selected,
"The contribution of human capital to a holistic response to climate change: learning from and for the Mekong Delta, Vietnam","Collins, Ngan and Jones, Sandra and Tin Hong Nguyen and Stanton, Pauline",2017,Asia Pacific Business Review,"The Mekong Delta has been identified by the International Panel on Climate Change as one of the three most vulnerable areas in the world as sea levels rise due to climate change. The Vietnam Government has implemented a range of policies to assist migration in order to address these environmental problems. While much research has focused on the environmental causes of, and responses to, climate change there has been less research on the impact of environmentally motivated responses to climate change on labour force and human capital factors. This paper examines the experience of the Vietnam Government in encouraging internal migration from vulnerable agricultural areas to urban industrial cities, to explore the human capital effects of these environmentally motivated response to climate change. The paper first presents the environmental argument for migration in response to climate change, together with examples of what the Vietnam Government has done to encourage migration from the rural (originating) areas to other rural resettlement and city (receiving) areas. It then uses data collected as part of recent study into the impact of government encouragement for internal migration to explore the labour force and human capital impacts in both the originating region and receiving areas. The findings suggest that while there are social and economic advantages there are challenges, including ensuring that job opportunities are available, migrants and appropriate skills, and that labour contracts provide for job security and healthy and safe working result in improved living conditions. To address these challenges, this paper proposes a more integrated approach that acknowledges and addresses associated human capital (skills upgrading) and business development needs and integrates these with environmentally-motivated policies.",Business \& Economics,2017.14126,selected,
Climate change and aquaculture: considering adaptation potential,"Reid, Gregor K. and Gurney-Smith, Helen J. and Flaherty, Mark and Garber, Amber F. and Forster, Ian and Brewer-Dalton, Kathy and Knowler, Duncan and Marcogliese, David J. and Chopin, Thierry and Moccia, Richard D. and Smith, Caitlin T. and De Silva, Sena",2019,Aquaculture Environment Interactions,"Increases in global population and seafood demand are occurring simultaneously with fisheries decline in an era of rapid climate change. Aquaculture is well positioned to help meet the world's future seafood needs, but heavy reliance of most global aquaculture on the ambient environment and ecosystem services suggests inherent vulnerability to climate change effects. There are, however, opportunities for adaptation. Engineering and management solutions can reduce exposure to stressors or mitigate stressors through environmental control. Epigenetic adaptation may have the potential to improve stressor tolerance through parental or early life stage exposure. Stressor-resistant traits can be genetically selected for, and maintaining adequate population variability can improve resilience and overall fitness. Information at appropriate time scales is crucial for adaptive response, such as real-time data on stressor levels and/or species' responses, early warning of deleterious events, or prediction of longer-term change. Diet quality and quantity have the potential to meet increasing energetic and nutritional demands associated with mitigating the effects of abiotic and biotic climate change stressors. Research advancements in understanding how climate change affects aquaculture will benefit most from a combination of empirical studies, modelling approaches, and observations at the farm level. Research to support aquaculture adaptation requires an increasing amount of environmental data to guide biological response studies for regional applications. Increased experimental complexity, resources, and duration will be necessary to better understand the effects of multiple stressors. Ultimately, in order for aquaculture sectors to move beyond short-term coping responses, governance initiatives incorporating the changing needs of stakeholders, users, and culture ecosystems as a whole are required to facilitate planned climate change adaptation and mitigation.",Fisheries; Marine \& Freshwater Biology,2019.736,selected,
Importance of species translocations under rapid climate change,"Butt, Nathalie and Chauvenet, Alienor L. M. and Adams, Vanessa M. and Beger, Maria and Gallagher, Rachael V. and Shanahan, Danielle F. and Ward, Michelle and Watson, James E. M. and Possingham, Hugh P.",2021,Conservation Biology,"Species that cannot adapt or keep pace with a changing climate are likely to need human intervention to shift to more suitable climates. While hundreds of articles mention using translocation as a climate-change adaptation tool, in practice, assisted migration as a conservation action remains rare, especially for animals. This is likely due to concern over introducing species to places where they may become invasive. However, there are other barriers to consider, such as time-frame mismatch, sociopolitical, knowledge and uncertainty barriers to conservationists adopting assisted migration as a go-to strategy. We recommend the following to advance assisted migration as a conservation tool: attempt assisted migrations at small scales, translocate species with little invasion risk, adopt robust monitoring protocols that trigger an active response, and promote political and public support.",Biodiversity \& Conservation; Environmental Sciences \& Ecology,2021.115,excluded,
"Blue carbon: past, present and future, with emphasis on macroalgae","Raven, John",2018,Biology Letters,"Blue carbon did not originally include macroalgal ecosystems; however evidence is mounting that macroalgal ecosystems function in marine carbon sequestration. The great majority of present day marine macroalgal net primary productivity (NPP) involves haptophytic algae on eroding shores. For these organisms the long-term storage of particulate organic carbon involves export from the site of production of biomass that has evaded parasites and grazers, and that some of the exported biomass is sedimented and stored rather than being mineralized en route by detritivores (microbes and fauna). Export from eroding shores, and subsequent storage, of haptophytic marine macroalgal particulate organic carbon could have started by 1.6 Ga. Storage on depositing shores close to the site of NPP by rhizophytic macroalgae and then by rhizophytic coastal seagrasses, tidal marshes and mangroves began not less than 209 Ma ago. Future increases in surface ocean temperatures may bring tropical marine macroalgae to their upper temperature limit, while temperate marine macroalgae will migrate poleward, in both cases assuming that temperature increases faster than genetic adaptation to higher temperature. Increased CO2 in the surface ocean will generally favour uncalcified over calcified marine macroalgae. This results in decreased CO2 release from decreased calcification, as well as decreased ballasting by CaCO3 of exported particulate organic carbon resulting in decreasing sedimentation. While much more work is needed, the available information suggests that macroalgae play a significant role in marine organic carbon storage.",Life Sciences \& Biomedicine - Other Topics; Environmental Sciences \& Ecology; Evolutionary Biology,2018.4569,selected,
Perceived Barriers to the Use of Assisted Colonization for Climate Sensitive Species in the Hawaiian Islands,"Rivera, Shannon N. and Fortini, Lucas Berio and Plentovich, Sheldon and Price, Melissa R.",2021,Environmental Management,"Conservation actions to safeguard climate change vulnerable species may not be utilized due to a variety of perceived barriers. Assisted colonization, the intentional movement and release of an organism outside its historical range, is one tool available for species predicted to lose habitat under future climate change scenarios, particularly for single island or single mountain range endemic species. Despite the existence of policies that allow for this action, to date, assisted colonization has rarely been utilized for species of conservation concern in the Hawaiian Islands. Given the potential for climate driven biodiversity loss, the Hawaiian Islands are a prime location for the consideration of adaptation strategies. We used first-person interviews with conservation decision makers, managers, and scientists who work with endangered species in the Hawaiian Islands to identify perceived barriers to the use of assisted colonization. We found that assisted colonization was often not considered or utilized due to a lack of expertize with translocations; ecological risk and uncertainty, economic constraints, concerns regarding policies and permitting, concerns with public perception, and institutional resistance. Therefore, conservation planners may benefit from decision tools that integrate risk and uncertainty into decision models, and compare potential outcomes among conservation actions under consideration, including assisted colonization. Within a decision framework that addresses concerns, all conservation actions for climate sensitive species, including assisted colonization, may be considered in a timely manner.",Environmental Sciences \& Ecology,2021.118,excluded,not specific to ocean
Estimates of genetic variability and inbreeding in experimentally selected populations of European sea bass,"Hillen, J. E. J. and Coscia, I. and Vandeputte, M. and Herten, K. and Hellemans, B. and Maroso, F. and Vergnet, A. and Allal, F. and Maes, G. E. and Volckaert, F. A. M.",2017,Aquaculture,"The aquaculture industry has increasingly aimed at improving economically important traits like growth, feed efficiency and resistance to infections. Artificial selection represents an important window of opportunity to significantly improve production. However, the pitfall is that selection will reduce genetic diversity and increase inbreeding in the farmed stocks. Genetic tools are very useful in this context as they provide accurate measures of genetic diversity together with many additional insights in the stock status and the selection process. In this study we assessed the level of genetic variability and relatedness over several generations of two lines of experimentally selected European sea bass (Dicentrarchus labrax L.). The first line was selected for growth over three generations and the second line for both high and low weight loss under a starvation regime over two generations. We used a genomic approach (2549 single nucleotide polymorphism markers derived from double digest restriction site associated DNA sequencing) in combination with eight microsatellites to estimate genetic variation, relatedness, effective population size and genetic differentiation across generations. Individual heterozygosity estimates indicated that the selected lines showed no significant reduction in diversity compared with wild populations. There was, however, a decreasing trend in allelic richness, suggesting the loss of low frequency alleles. We compared the estimates of effective population size from genetic markers with pedigree information and found good correspondence between methods. This study provides important insights in the genetic consequences of selective breeding and demonstrates the operational use of the latest genomic tools to estimate variability, inbreeding and at a later stage domestication and artificial selection.",Fisheries; Marine \& Freshwater Biology,2017.6247,excluded,Not specific to climate change
Adaptation in marine invasion: a genetic perspective,"Tepolt, C. K.",2015,Biological Invasions,"Genetic adaptation-heritable changes that alter an organism's performance-may facilitate invasion at several scales, but is seldom considered in predicting and managing marine invasions. However, a growing body of research-largely based on emerging genetic approaches-suggests that adaptation is possible and potentially widespread in the marine realm. Here, I review evidence for adaptation in marine invasion, considering both quantitative and genetic studies. Quantitative studies, which consider trait-based differences between populations or individuals without directly examining genetic makeup, have suggested local adaptation in several high-profile species. This implies that invasion risk may not be constant from population to population within a species, a key assumption of most invasion models. However, in many quantitative studies, the effects of heritable adaptive changes may be confounded with the effects of plasticity. Molecular approaches can help disentangle these effects, and studies at the genomic level are beginning to elucidate the specific genetic patterns and pathways underlying adaptation in invasion. While studies at this scale are currently rare in the marine invasion literature, they are likely to become increasingly prevalent-and useful-now that next-generation sequencing approaches have become tractable in non-model systems. Both traditional and emerging genetic approaches can improve our understanding of adaptation in marine invasions, and can aid managers in making accurate predictions of invasion spread and risk.",Biodiversity \& Conservation; Environmental Sciences \& Ecology,2015.496,excluded,Not specific to climate change
