(internal) id,(source) id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,dveytia,labeled_at,YunneShin,labeled_at,bopp,labeled_at,gattuso,labeled_at,adriencomte,labeled_at,general notes (dveytia),population notes (dveytia),intervention/comparator notes (dveytia),outcome notes (dveytia),general notes (YunneShin),population notes (YunneShin),intervention/comparator notes (YunneShin),outcome notes (YunneShin),general notes (bopp),population notes (bopp),intervention/comparator notes (bopp),outcome notes (bopp),general notes (gattuso),population notes (gattuso),intervention/comparator notes (gattuso),outcome notes (gattuso),general notes (adriencomte),population notes (adriencomte),intervention/comparator notes (adriencomte),outcome notes (adriencomte)
35970720,4805,NA,"We review the state of knowledge of the individual and community responses of euthecosome (shelled) pteropods in the context of global environmental change. In particular, we focus on their responses to ocean acidification, in combination with ocean warming and ocean deoxygenation, as inferred from a growing body of empirical literature, and their relatively nascent place in ecosystem-scale models. Our objectives are: (1) to summarize the threats that these stressors pose to pteropod populations; (2) to demonstrate that pteropods are strong candidate indicators for cumulative effects of OA, warming, and deoxygenation in marine ecosystems; and (3) to provide insight on incorporating pteropods into population and ecosystem models, which will help inform ecosystem-based management of marine resources under future environmental regimes. (C) 2016 Elsevier Ltd. All rights reserved.","Pteropods on the edge: Cumulative effects of ocean acidification, warming, and deoxygenation",,,,-1,,-1,1/24/2023 7:30,-1,1/23/2023 20:58,-1,1/24/2023 7:37,-1,1/23/2023 17:26,-1,1/23/2023 15:34,,,No - not an action,,,,,,Not focused on a specific solution. Just one sentence on how it may help informing ecosystem-based managment.,,,,,,,,"documenting climate change impacts, risk/vulnerability assessments/projections",,,
35970721,2056,NA,"The Southern Hemisphere (SH) stratospheric stationary wave amplitude increased significantly in late spring and early summer during the last two decades of the twentieth century. A suite of chemistry climate model simulations are examined to explore the underlying cause and the separate effects of anthropogenic forcing from ozone depleting substances (ODSs) and greenhouse gases (GHGs) in the past and projected SH stationary wave evolution. The model simulations produce trends in the wave amplitude similar to that observed, although somewhat weaker. In simulations with changing ODSs, this increase in amplitude is reproduced during the ozone depletion period and is reversed during the ozone recovery period. This response is related to changes in the strength and timing of the breakdown of the SH polar vortex associated with ozone depletion and recovery. GHG increases have little impact on the simulated stratospheric stationary wave amplitude but are projected to induce an eastward phase shift of the waves. This phase shift is linked to the strengthening of the subtropical jets driven by GHG forcing via sea surface warming.",Southern Hemisphere Stationary Wave Response to Changes of Ozone and Greenhouse Gases,,,,-1,,-1,1/24/2023 7:31,-1,1/23/2023 20:59,-1,1/24/2023 7:46,-1,1/23/2023 17:27,-1,1/23/2023 15:35,,,No - not an action,,,,,,"Not discussing a solution, but assessing impacts of changes in O3 and GHG in the SO.",,,,,,,,,,,
35970722,2526,coping strategies; coastal flooding risk; place attachment; risk perception; climate change,"Coastal flooding risks are becoming increasingly important because of the increasing vulnerability of coastal territories and the rise of ocean levels in relation to climate change. Studying the adaptation to these phenomena requires taking into account the coping strategies (problem-focused or emotional-focused coping) implemented by the inhabitants of the exposed territories. A theoretical model of situational and dispositional factors determining these strategies has been proposed and tested empirically with 583 inhabitants of the island of Guadeloupe, which is exposed to said coastal flooding risk. The fit index confirms the adequacy of the model. The results indicate that coastal flooding risk perception, difficulties to regulate emotions, and place attachment predict avoidance coping. Vigilant coping is only predicted by perceived action efficiency. The roles of duration of residence and distance from the sea have been highlighted.",Coping Strategies Regarding Coastal Flooding Risk in a Context of Climate Change in a French Caribbean Island,,,,x,,1,1/24/2023 7:34,-1,1/23/2023 21:04,1,1/24/2023 7:47,1,1/23/2023 17:28,1,1/23/2023 15:36,,yes,yes - adaptation/coping to SLR,Unsure - could be seen as an enabling condition,,,,,Yes. Addressing coastal risks and action efficiency.,,,,,,,,,,,
35970723,5649,Mus musculus; Marion Island; mitochondrial DNA; biological invasion,"Biological invasions and climate change are two of the largest threats to biodiversity, and this is especially true for island ecosystems that have largely evolved in isolation. The house mouse is considered to have been introduced to sub-Antarctic Marion Island by sealers in the early 1800s. It is currently widespread across the island and has a large impact on the indigenous biota. To date, little information is available on genetic aspects of biological invasions in the sub-Antarctic. Ten specimens of the house mouse were collected from two geographically separated localities on Marion Island. Sequences of the mitochondrial DNA control region revealed only two haplotypes, separated by a single site change. More importantly, these haplotypes are shared between the eastern and western side of Marion Island. By comparing our sequences to data available on GenBank, we provide evidence that house mice on Marion Island is Mus musculus domesticus (Rutty 1772), and most closely related to haplotypes characterizing this species from Denmark, Sweden, Finland, and northern Germany.",Genetic evidence confirms the origin of the house mouse on sub-Antarctic Marion Island,,,,-1,,-1,1/24/2023 7:35,-1,1/23/2023 21:05,-1,1/24/2023 7:48,-1,1/23/2023 17:28,-1,1/23/2023 15:37,,No - land-based population,,,,,,,Not ocean related solution. ,,,,,,,,,,,
35970724,4113,climatic anomalies; summer lengthening; energetic constraints; benthic suspension feeders; extreme events,"Summer conditions in the Mediterranean Sea are characterized by high temperatures and low food availability. This leads to ``summer dormancy'' in many benthic suspension feeders due to energetic constraints. Analysis of the most recent 33-year temperature time series demonstrated enhanced stratification due to global warming, which produced a approximate to 40\% lengthening of summer conditions. Many biological processes are expected to be affected by this trend, culminating in such events as mass mortality of invertebrates. Climatic anomalies concomitant with the occurrence of these events represent prolonged exposure to warmer summer conditions coupled with reduced food resources. Simulation of the effects of these conditions on a model organism demonstrated a biomass loss of > 35\%. Losses of this magnitude result in mortality similar to that noted in field observations during mass mortality events. These results indicate that temperature anomalies are the underlying cause of the events, with energetic constraints serving as the main triggering mechanism.",Global warming-enhanced stratification and mass mortality events in the Mediterranean,,,,-1,,-1,1/24/2023 7:36,-1,1/23/2023 21:06,-1,1/24/2023 7:49,-1,1/23/2023 17:29,-1,1/23/2023 15:38,,,No - not an action,,,,,,"Not discussing an ORO, but addressing impacts of climate anomalies on invertebrates in the medSea.",,,,,,,,,,,
35970725,883,Artificial neural network (ANN); Coastal wetlands; Greenhouse gases; Machine learning; Predictions; Salt marshes,"Prediction of wetland greenhouse gas (GHG) fluxes has been a challenging undertaking. Machine learning techniques such as the artificial neural network (ANN) has a strong potential to provide high quality predictions of the wetland GHG fluxes. We developed eight different ANN models and investigated their suitability to predict the major GHG fluxes (CO2 and CH4) in coastal salt marshes (dominated by Spartina alterniflora) of Waquoit Bay, Massachusetts, USA. Based on the dominant environmental drivers, the daytime net uptake fluxes of CO2 were predicted as a function of photosynthetically active radiation, soil temperature (ST), and porewater salinity (SS). The net emission fluxes of CH4 were predicted as a function of ST and SS. Our models with the radial basis function neural network (RBNN) provided the most accurate and least-biased predictions of the net CO2 uptake (Nash-Sutcliffe Efficiency, NSE = 0.98) and CH4 emission (NSE = 0.90-0.92). The linear layer neural network generated the least successful and most biased predictions of the GHG fluxes (NSE = 0.48-0.80). Other ANNs, including the commonly-used feed forward neural network (FFNN), provided less accurate and more biased predictions of the CO2 (NSE = 0.86-0.97) and CH4 (NSE = 0.73-0.89) fluxes than the RBNN. We, therefore, recommend using RBNN as the first choice and FFNN (or its variant) as the second choice for predicting the GHG fluxes in coastal salt marshes. Our findings and tools would help derive plausible scenarios and guidelines for restoration, monitoring, and maintenance of coastal salt marshes in the U.S. and beyond.",Predicting greenhouse gas fluxes in coastal salt marshes using artificial neural networks,,,,x,,1,1/24/2023 7:39,-1,1/23/2023 21:07,1,1/24/2023 7:50,-1,1/23/2023 17:29,-1,1/23/2023 15:40,,Yes,Yes - blue carbon,"Unsure - relevant to mitigation outcomes of blue carbon, but not a direct obs, a modelling result",,,,,Addresses side-effects (GHG emissions) of salt-marshes restoration.,,,,restoration mentioned but not the primary aim of the study,,,,Hypothetical concluding statements that connect outcome’s relevance to an ORO,,,
35970726,804,NA,"In the Pacific Northwest, commercial hybrid poplar (Populus generosa Henry x Populus canadensis Moench.) is managed at low stocking densities under irrigation for high-value timber production. The objectives of this study were to measure greenhouse gas emissions (CH4, CO2, and N2O) during intercropping of switchgrass (Panicum virgatum L.) with hybrid poplar; estimate losses of fertilizer- N as N2O, and estimate global warming potentials (GWP) of the intercrop. Cumulative above-ground biomass-C of the poplar monoculture (PM) closely matched the four year growing season (GS) soil CO2-C emissions, where aboveground biomass of the switchgrass monoculture (SM) and intercrop (IC) exceeded GS CO2-C emissions by 14.1 Mg C ha-1. Soil CH4-C uptake was not significantly different between treatments, while GS N2O-N emissions for PM were similar to 80\% lower than both IC and SM. N2O emissions factors averaged 0.7\% of the applied N-fertilizer. Cumulative contributions of CO2 emissions to GWP were offset by biomass-C resulting in a near zero balance (-5.1 Mg CO2eq ha -1) for the PM, where, IC and SM sequestered significantly more CO2 resulting in a net GWP of -42.5 and -32.2 Mg CO2eq ha(-1), respectively. Intercropping with switchgrass can improve the net greenhouse gas balance of hybrid poplar. Continued research is needed on the effects of irrigated bioenergy production on GHG emissions in intercropped systems as they will become increasingly important as agricultural water use, water availability and quality are challenged by climate change.",Intercropping with Switchgrass Improves Net Greenhouse Gas Balance in Hybrid Poplar Plantations on a Sand Soil,,,,-1,,-1,1/24/2023 7:40,-1,1/23/2023 21:08,-1,1/24/2023 7:51,-1,1/23/2023 17:30,-1,1/23/2023 15:41,,No - land,,,,,,,Not ocean-related.,,,,,,,,Terrestrial ,,,
35970727,1089,Northern Hemisphere monsoon; monsoon circulation; monsoon dynamics; anthropogenic forcing; aerosol,"Because increased greenhouse gas emissions considerably warm and moisten the Earth's atmosphere, one may expect an increase in monsoon precipitation during the historical period. However, we find the observed Northern Hemisphere land summer monsoon (NHLM) precipitation has significantly decreased since 1901. Simulations from Coupled Model Intercomparison Project Phase 6 (CMIP6) well reproduce global warming and the drying of NHLM since the industrial revolution when forced by observed external forcings. Result from single forcing experiment shows that the anthropogenic aerosol (AA) dominates the Northern Hemisphere (NH) monsoon precipitation drying, while the greenhouse gases (GHG) largely control surface warming. Thus, the NH monsoon precipitation responds to AA more sensitively than the GHG. The AA can more effectively modulate downward solar radiation reaching the surface, decreasing evaporation and weakening monsoon circulations by reducing the interhemispheric temperature difference and land-ocean thermal contrast, albeit with the same efficiency of the thermodynamic effect in the two forcings. Our result indicates the future intensive reduction of aerosol emission may rapidly recover the NH monsoon precipitation.",Higher Sensitivity of Northern Hemisphere Monsoon to Anthropogenic Aerosol Than Greenhouse Gases,,,,-1,,-1,1/24/2023 7:41,-1,1/23/2023 21:09,-1,1/24/2023 7:52,-1,1/23/2023 17:30,-1,1/23/2023 15:43,,,No - no action,,,,,,Not addressing an ocean-related solution. But focusing on impacts of aerosol emisison reduction on NH monsoon.,,,,no a managed human action,,,,Hypothetical concluding statements that connect outcome’s relevance to an ORO,,,
35970728,3228,Antarctic bacterioplankton; metagenomics; chemolithoautotrophy,"Antarctic surface oceans are well-studied during summer when irradiance levels are high, sea ice is melting and primary productivity is at a maximum. Coincident with this timing, the bacterioplankton respond with significant increases in secondary productivity. Little is known about bacterioplankton in winter when darkness and sea-ice cover inhibit photoautotrophic primary production. We report here an environmental genomic and small subunit ribosomal RNA (SSU rRNA) analysis of winter and summer Antarctic Peninsula coastal seawater bacterioplankton. Intense inter-seasonal differences were reflected through shifts in community composition and functional capacities encoded in winter and summer environmental genomes with significantly higher phylogenetic and functional diversity in winter. In general, inferred metabolisms of summer bacterioplankton were characterized by chemoheterotrophy, photoheterotrophy and aerobic anoxygenic photosynthesis while the winter community included the capacity for bacterial and archaeal chemolithoautotrophy. Chemolithoautotrophic pathways were dominant in winter and were similar to those recently reported in global `dark ocean' mesopelagic waters. If chemolithoautotrophy is widespread in the Southern Ocean in winter, this process may be a previously unaccounted carbon sink and may help account for the unexplained anomalies in surface inorganic nitrogen content. The ISME Journal (2012) 6, 1901-1915; doi:10.1038/ismej.2012.31; published online 26 April 2012",A metagenomic assessment of winter and summer bacterioplankton from Antarctica Peninsula coastal surface waters,,,,-1,,-1,1/24/2023 7:42,-1,1/23/2023 21:10,-1,1/24/2023 7:53,-1,1/23/2023 17:31,-1,1/23/2023 15:44,,,No - no action,,,,,,Not focusing on ORO. But focusing on biogeochemical processes (chemolithoautotrophy).,,,,C sink not human managed,,,,,,,
35970729,3351,nitrogen sources; Dunaliella salina; growth; glycerol production; halotolerant eukaryotes,"The growth and glycerol production of Dunaliella salina was studied with substitution of various nitrogen sources in the medium. Potassium nitrate (10 mM) was found to be the best of several nitrogen sources tested followed by urea, ammonium nitrate, glycine, ammonium acetate and ammonium chloride. The photosynthesis, respiration, glycerol production and (CO2)-C-14 uptake rates were assessed in medium containing potassium nitrate and urea. Ultimately, KNO3 was found to be a better substrate than urea for ascertaining the growth and cellular contents of D. salina.",Effect of different nitrogen sources on growth end glycerol production by Dunaliella salina,,,,-1,,-1,1/24/2023 7:43,-1,1/23/2023 21:10,-1,1/24/2023 7:54,-1,1/23/2023 17:31,-1,1/23/2023 15:44,,,,,,,,,Not discussing an ORO,,,,,,,,,,,
35970730,340,area-based conservation; biodiversity; climate change; conservation planning; extinction risk,"Limiting climate change to less than 2 degrees C is the focus of international policy under the climate convention (UNFCCC), and is essential to preventing extinctions, a focus of the Convention on Biological Diversity (CBD). The post-2020 biodiversity framework drafted by the CBD proposes conserving 30\% of both land and oceans by 2030. However, the combined impact on extinction risk of species from limiting climate change and increasing the extent of protected and conserved areas has not been assessed. Here we create conservation spatial plans to minimize extinction risk in the tropics using data on 289 219 species and modeling two future greenhouse gas concentration pathways (RCP2.6 and 8.5) while varying the extent of terrestrial protected land and conserved areas from <17\% to 50\%. We find that limiting climate change to 2 degrees C and conserving 30\% of terrestrial area could more than halve aggregate extinction risk compared with uncontrolled climate change and no increase in conserved area.",30\% land conservation and climate action reduces tropical extinction risk by more than 50\%,,,,x,,-1,1/24/2023 7:44,-1,1/23/2023 21:11,1,1/24/2023 7:54,1,1/23/2023 17:32,1,1/23/2023 15:45,,No - only land,,,,,,,Yes. Conservation strategy and how it reduces extinction risks in the tropics.,,,,,,,,,,,
35970731,4084,Solar physics; Solar energetic particles; Ground level enhancements,"An overview of the results of the search for small solar transient events, in association with muon enhancements (deficits) registered at ground-level by the Tupi muon telescopes, is presented. Among the events, there are three interplanetary shocks and two solar flares of small scale whose X-ray emission flux is much smaller than 10(-5) W m(-2) at 1 AU (GOES-Tupi connection). Two of the interplanetary shocks are cataloged as corotating interaction region and the third shock is due to the passage of a CME (coronal mass ejection) ejecta (ACE and SOHO-Tupi connection) in the Earth's proximities. In most cases, the particles excess (deficit) coming from these events have only been observed with spacecraft instruments. However, the Tupi telescopes are located at sea level and within the South Atlantic Anomaly (SAA), a region where the shielding effect of the magnetosphere is not perfectly spherical and shows a `dip'. This fact enables the muon telescopes to achieve a low rigidity of response to primary and secondary charged particles (>= 0.1 GV). Muon excesses (deficits) with significances above 4 sigma have been found. These events observed at ground admit a temporal correlation with solar transient events observed by spacecrafts, which suggests strongly a real connection between them. Details of these observations are reported.",Connection among spacecrafts and ground level observations of small solar transient events An overview of small solar transient events observed at ground,,,,-1,,-1,1/24/2023 7:45,-1,1/23/2023 21:12,-1,1/24/2023 7:55,-1,1/23/2023 17:32,-1,1/23/2023 15:46,,No ,,,,,,,Not addressing ORO. But impacts of solar transient events.,,,,,,,,,,,
35970732,347,Cultural ecosystem services; marine renewable energy installations; provisioning services; regulatory services; supporting services; valuation,"The rapid increase in renewable energy generation from wind has increased concerns about the impacts that wind arrays have on the marine environment and what these impacts mean for society. One method for identifying the impacts of offshore wind farms (OWFs) on human welfare is through the assessment and valuation of ecosystem services. Using an ecosystem services approach, this paper reviews the impacts of OWFs on the ecosystem services delivered by marine environments. During the construction phase, supporting services such as reduced energy capture and nutrient cycling are changed due to the introduction of hard substrate and the reduction in soft sediment habitat at turbine bases. This may lead to changes in all other ecosystem services, both negative and positive. Quantifying these changes, however, is a challenge partly due to data limitations and a lack of clear understanding of the impacts of OWFs on the marine ecosystems. Scientific effort needs to quantitatively explore the impacts of OWFs on ecosystem functionality and the gathering of data that enables the assessment of changes to ecosystem services. Data needed to better quantify and value the impacts of OWFs on ecosystem services are suggested. The development of methods which integrate socioeconomic valuation of ecosystem services into the evaluation of renewable energy devices compliments efforts in assessing the environmental impacts and should enable a holistic assessment of the impact of renewable energy production and greenhouse gas mitigation technologies on the U. K. carbon footprint.",The Impact of Offshore Wind Farms on Marine Ecosystems: A Review Taking an Ecosystem Services Perspective,,,,1,,1,1/24/2023 7:46,1,1/23/2023 21:13,1,1/24/2023 7:56,1,1/23/2023 17:32,1,1/23/2023 15:47,,Yes,Yes - offshore wind,Yes - impacts resulting from the ORO,,,,,Yes. Impacts on wind farms on marine ecosystems (secondary effects).,,,,,,,,,,,
35970733,1090,trash; modeling; soil organic matter; environmental N losses; carbon sequestration,"The warming of world climate systems is driving interest in the mitigation of greenhouse gas (GHG) emissions. In the agricultural sector, practices that mitigate GHG emissions include those that (1) reduce emissions {[}e.g., those that reduce nitrous oxide (N2O) emissions by avoiding excess nitrogen (N) fertilizer application], and (2) increase soil organic carbon (SOC) stocks (e.g., by retaining instead of burning crop residues). Sugarcane is a globally important crop that can have substantial inputs of N fertilizer and which produces large amounts of crop residues ('trash'). Management of N fertilizer and trash affects soil carbon and nitrogen cycling, and hence GHG emissions. Trash has historically been burned at harvest, but increasingly is being retained on the soil surface as a `trash blanket' in many countries. The potential for trash retention to alter N fertilizer requirements and sequester SOC was investigated in this study. The APSIM model was calibrated with data from field and laboratory studies of trash decomposition in the wet tropics of northern Australia. APSIM was then validated against four independent data sets, before simulating location x soil x fertilizer x trash management scenarios. Soil carbon increased in trash blanketed soils relative to SOC in soils with burnt trash. However, further increases in SOC for the study region may be limited because the SOC in trash blanketed soils could be approaching equilibrium; future GHG mitigation efforts in this region should therefore focus on N fertilizer management. Simulated N fertilizer rates were able to be reduced from conventional rates regardless of trash management, because of low yield potential in the wet tropics. For crops subjected to continuous trash blanketing, there was substantial immobilization of N in decomposing trash so conventional N fertilizer rates were required for up to 24 years after trash blanketing commenced. After this period, there was potential to reduce N fertilizer rates for crops when trash was retained (<= 20 kg N ha(-1)per plant or ratoon crop) while maintaining >= 95\% of maximum yields. While these savings in N fertilizer use were modest at the field scale, they were potentially important when aggregated at the regional level.",Long Term Sugarcane Crop Residue Retention Offers Limited Potential to Reduce Nitrogen Fertilizer Rates in Australian Wet Tropical Environments,,,,x,,-1,1/24/2023 7:47,-1,1/23/2023 21:14,-1,1/24/2023 7:56,-1,1/23/2023 17:33,1,1/23/2023 15:49,,No- land,,,,,,,Not part of ORO.,,,,,,,,,,,
35970734,3095,NA,"Phytodetrital sedimentation, bacterial activity in sediments, and benthic macro- and meiofauna abundance were measured to calculate a carbon budget for pelagic-benthic coupling in Lake Erken. Bacterial activity in surficial sediment was limited by temperature in spring, although a significant correlation with the input of spring-bloom phytodetritus was noted. Population dynamics of benthic meiofauna during a period of increased food availability in spring were highly taxon-specific and closely correlated to feeding behavior. Abundances of ostracods and nematodes rapidly increased when phytodetritus became available in hypolimnetic water and surficial sediment, respectively. Considerable time lags (months) were found between phytodetritus deposition and population development of harpacticoid copepods and chydorids. Carbon budget calculations based on sedimentation data (traps) and surficial sediment C content showed that during spring between 1.1 and 7.2\% of deposited phytodetritus is assimilated by benthic meiofauna, whereas the dominant macroinvertebrates, sedentary chironomids, assimilated between 2.4 and 6.0\%. On average, between 1.9 and 12.4\% of the deposited phytodetritus was mineralized by sediment bacteria. A significant negative correlation was found between abundances of benthic meiofauna and bacteria in the sediment. Chlorophyll a analysis of surficial sediment was a necessary, complementary tool to detect sedimentation that was not detected by the traditional, cylindric sediment traps.",Pelagic-benthic coupling: Profundal benthic community response to spring diatom deposition in mesotrophic Lake Erken,,,,-1,,-1,1/24/2023 7:48,-1,1/23/2023 21:15,-1,1/24/2023 7:57,-1,1/23/2023 17:33,-1,1/23/2023 15:50,,,No - not action,,,,,,Not ovean-related. But focusing on a lake.,,,,,,,,,,,
