(internal) id,(source) id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,dveytia,labeled_at,YunneShin,labeled_at,bopp,labeled_at,gattuso,labeled_at,adriencomte,labeled_at,general notes (dveytia),population notes (dveytia),intervention/comparator notes (dveytia),outcome notes (dveytia),general notes (YunneShin),population notes (YunneShin),intervention/comparator notes (YunneShin),outcome notes (YunneShin),general notes (bopp),population notes (bopp),intervention/comparator notes (bopp),outcome notes (bopp),general notes (gattuso),population notes (gattuso),intervention/comparator notes (gattuso),outcome notes (gattuso),general notes (adriencomte),population notes (adriencomte),intervention/comparator notes (adriencomte),outcome notes (adriencomte)
35970735,188,Urban overheating; Heatwaves; Urban cooling energy needs; Indoor comfort; Adaptive measures,"The rapidly growing urban population, along with the increasing urban energy needs and greenhouse gas (GHG) emissions, poses a serious threat to the global climate. Local, regional, and global climatic condi-tions synergistically interact and affect urban energy performance and thermal comfort. The combined impact of such local, regional and global climatic change on the buildings' thermal performance has never been studied. In the present study, the combined impact of urban overheating (UO) and heatwaves (HWs) on building thermal performance have been investigated by employing the urban building energy model (UBEM). Further, the sensitivity analyses were performed using various adaptive measures to evaluate the impact on cooling needs and indoor comfort. Under the synergistic impact of UO and HWs, the cool -ing penalties were recorded up to 650\%, the increase in mean indoor temperature was up to 5.8 degrees C, and the deterioration in passive survivability was registered up to 31\%. Under the combined impact of various adaptive measures, the cooling savings were recorded up to 97\%, the drop in mean indoor temperature was up to 2.34 degrees C, and the improvement in passive survivability was up to 20\% during HWs. The present study might assist in revising the building codes to counteract the global climatic change and improve building resilience during extreme heat conditions. (c) 2022 Elsevier B.V. All rights reserved.","On the combined impact of local, regional, and global climatic changes on the urban energy performance and indoor thermal comfort-The energy potential of adaptation measures",,,,x,,-1,1/24/2023 7:50,-1,1/23/2023 21:17,-1,1/24/2023 7:57,-1,1/23/2023 17:34,1,1/23/2023 15:51,,No,,,,,,,Not Ocean related.,,,,,,,,,,,
35970736,1347,NA,"Prescribed burning is a forest management practice that is widely used in Australia to reduce the risk of damaging wildfires. Prescribed burning can affect both carbon (C) and nitrogen (N) cycling in the forest and thereby influence the soil-atmosphere exchange of major greenhouse gases, i.e. carbon dioxide (CO2), methane (CH4) and nitrous oxide (N2O). To quantify the impact of a prescribed burning (conducted on 27 May 2014) on greenhouse gas exchange and the potential controlling mechanisms, we carried out a series of field measurements before (August 2013) and after (August 2014 and November 2014) the fire. Gas exchange rates were determined in four replicate plots which were burned during the combustion and in another four adjacent unburned plots located in green islands, using a set of static chambers. Surface soil properties including temperature, pH, moisture, soil C and N pools were also determined either by in situ measurement or by analysing surface 10 cm soil samples. All of the chamber measurements indicated a net sink of atmospheric CH4, with mean CH4 uptake ranging from 1.15 to 1.99 mg m(-2) d(-1). Prescribed burning significantly enhanced CH4 uptake as indicated by the significant higher CH4 uptake rates in the burned plots measured in August 2014. In the following 3 months, the CH4 uptake rate was recovered to the pre-burning level. Mean CO2 emission from the forest soils ranged from 2721.76 to 7113.49 mg m(-2) d(-1). The effect of prescribed burning on CO2 emission was limited within the first 3 months, as no significant difference was observed between the burned and the adjacent unburned plots in both August and November 2014. The CO2 emissions showed more seasonal variations, rather than the effects of prescribed burning. The N2O emission in the plots was quite low, and no significant impact of prescribed burning was observed. The changes in understory plants and litter layers, surface soil temperature, C and N substrate availability and microbial activities, following the prescribed burning, were the factors that controlled the greenhouse gas exchanges. Our results suggested that the low-intensity prescribed burning would decrease soil CO2 emission and increase CH4 uptake, but this effect would be present within a relatively short period. Only slight changes in the surface soil properties during the combustion and very limited impacts of prescribed burning on the mineral soils supported the rapid recovery of the greenhouse gas exchange rates.","Impacts of prescribed burning on soil greenhouse gas fluxes in a suburban native forest of south-eastern Queensland, Australia",,,,x,,-1,1/24/2023 7:50,-1,1/23/2023 21:17,-1,1/24/2023 7:58,-1,1/23/2023 17:35,1,1/23/2023 15:52,,No,,,,,,,Not ocean related.,,,,,,,,,,,
35970737,966,NA,"This paper reviews recent research that assesses evidence for the detection of anthropogenic and natural external influences on the climate. Externally driven climate change has been detected by a number of 19 investigators in independent data covering many parts of the climate system, including surface temperature on global and large regional scales, ocean heat content, atmospheric circulation, and variables of the free atmosphere, such as atmospheric temperature and tropopause height. The influence of external forcing is also clearly discernible in reconstructions of hemispheric-scale temperature of the last millennium. These observed climate changes are very unlikely to be due only to natural internal climate variability, and they are consistent with the responses to anthropogenic and natural external forcing of the climate system that are simulated with climate models. The evidence indicates that natural drivers such as solar variability and volcanic activity are at most partially responsible for the large-scale temperature changes observed over the past century, and that a large fraction of the warming over the last 50 yr can be attributed to greenhouse gas increases. Thus, the recent research supports and strengthens the IPCC Third Assessment Report conclusion that `' most of the global warming over the past 50 years is likely due to the increase in greenhouse gases `'.",Detecting and attributing external influences on the climate system: A review of recent advances,,,,-1,,-1,1/24/2023 7:51,-1,1/23/2023 21:18,-1,1/24/2023 7:58,-1,1/23/2023 17:35,-1,1/23/2023 15:53,,No - not specificially ocean,,,,,,,Not addressing ocean-relaed option. But attribution / detection study.,,,,,,,,,,,
35970738,4285,NA,"A 2 degrees C increase in global temperature above pre-industrial levels is considered a reasonable target for avoiding the most devastating impacts of anthropogenic climate change. In June 2015, sea surface temperature (SST) of the South China Sea (SCS) increased by 2 degrees C in response to the developing Pacific El Nino. On its own, this moderate, short-lived warming was unlikely to cause widespread damage to coral reefs in the region, and the coral reef ``Bleaching Alert{''}alarm was not raised. However, on Dongsha Atoll, in the northern SCS, unusually weak winds created low-flow conditions that amplified the 2 degrees C basin-scale anomaly. Water temperatures on the reef flat, normally indistinguishable from open-ocean SST, exceeded 6 C-degrees above normal summertime levels. Mass coral bleaching quickly ensued, killing 40\% of the resident coral community in an event unprecedented in at least the past 40 years. Our findings highlight the risks of 2 degrees C ocean warming to coral reef ecosystems when global and local processes align to drive intense heating, with devastating consequences.",Mass coral mortality under local amplification of 2 degrees C ocean warming,,,,-1,,-1,1/24/2023 7:52,-1,1/23/2023 21:19,-1,1/24/2023 8:06,-1,1/23/2023 17:36,-1,1/23/2023 15:54,,,No - more about risks than action,,,,,,Not on ocean related option. ,,,,,,,,,,,
35970739,4797,organic facies; Sivas Basin; Tertiary; Turkey,"The Sivas Tertiary Basin is located on top of the Late Cretaceous Neotethys ophiolitic nappes which were abducted onto both the Pontic belt and the Tauric platform. Organic facies characters of Tertiary units in this basin have been determined by means of total organic carbon (TOC) analysis, rock-eval pyrolysis, vitrinite reflectance data and organic petrography investigation. The total organic carbon content (TOC) of fine grained sediments from the Eocene (Kozluca and Bozbel Formations) are between 0.05 and 2.26\% indicating that these formations are poor to moderate in organic matter. Rock-eval analysis yield low hydrogen index (HI) and high oxygen index (OI) values for all samples. The dominant organic matter is type III kerogen and the hydrocarbon-generating potential is thus very low. The vitrinite reflectance (R-o) value is between 0.30 and 0.93\%. In the Sivas Tertiary Basin, the Oligocene sediments from the Selimiye Formation are characterized by a low TOC content (0.05-1.72\%) and hydrogen index (21-47 mg HC/g TOC). The vitrinite reflectance of Oligocene sediments is 0.38-0.64\%. The total organic carbon content (TOC) for Miocene sediments (Hafik and Karacaoren Formation) is 0.07-1.46\%. The organic matter content is richer in the Miocene sediments of the Karacaoren Formation marine shelf than in the sediments of the Hafik Formation terrestrial. (C) 1998 Elsevier Science B.V.",Organic facies characteristics of the Sivas Tertiary basin (Turkey),,,,-1,,-1,1/24/2023 7:53,-1,1/23/2023 21:19,-1,1/24/2023 8:06,-1,1/23/2023 17:36,-1,1/23/2023 15:54,,No,,,,,,,Not ocean related options,,,,,,,,,,,
35970740,2245,Carbon dioxide; Methane; Nitrous oxide; Ebullition; Gas flux,"Greenhouse gas emissions of Lake Neusiedl, the westernmost European shallow steppe lake, were analysed to identify differences between the seasons of the years and between different locations in the pelagic zone and reed belt. Emissions of CO2, CH4 and N2O were measured in gas samples that had been recovered from the gas space of floating chambers operated as closed systems. Sampling periods covered all seasons except winter. Scaled up to the whole lake area (320 km(2)), the diffusive emissions of spring, summer and autumn totalled to about 79,500 t CO(2)e, disregarding bubble emissions, winter emissions and plant-mediated emissions. The emission sum consisted of about 57,000 t CO2, 760 t CH4, and 12 t N2O. Approximately one-third of the methane and carbon dioxide emissions originated in the pelagic zone and two-thirds in the reed belt (without plant emissions) whereas nitrous oxide emissions were similar in these two zones. An estimate of ebullitive emissions resulted in additional 1,765 t CH4 that predominantly originated in or near the reed belt from spring to autumn.","Emissions of greenhouse gases from Lake Neusiedl, a shallow steppe lake in Eastern Austria",,,,-1,,-1,1/24/2023 7:54,-1,1/23/2023 21:20,-1,1/24/2023 8:07,-1,1/23/2023 17:36,-1,1/23/2023 15:55,,No - lake,,,,,,,Focus on lake (not ocean),,,,,,,,,,,
35970741,2399,Adaptation measures; Saltwater inundation; Measure-based adaptation index; Determinants of adaptation; The Philippines; Vietnam,"This study sought to determine the factors influencing rice farmers' adaptation to a slow-onset hazard such as saltwater inundation. The research is based on a survey conducted through personal interviews using Kobotool App consisting of 326 coastal rice farmers in Northern Mindanao, the Philippines and 258 rice farmers in two provinces in the Mekong Delta in Vietnam. There were four levels of analyses for the assessment of the feasibility of the adaptation measures implemented by the farmers. First, it classified adaptation measures into specific categories: technology based, farm-based crop management, ecosystem-based adaptation, off-farm income diversification, and other measures. Second, it developed a multi-criteria assessment tool on adaptation measures based on stakeholder analysis and expert judgment based on four major feasibility criteria. Third, it determined the level of adaptation based on the combination of measures and the feasibility of the chosen measures by constructing a measure-based adaptation index (MAI). Finally, it came up with a model showing the factors influencing the MAI of the farmers. The results revealed that adaptation takes place at different levels in the two countries based on the diversity of measures, the feasibility of the various measures, and the varying conditions of saltwater inundation. The empirical evidence provides systematic support for the hypothesis that adaptation measures are influenced by a confluence of social, institutional, and economic factors.",Factors Influencing Measure-based Adaptation of Rice Farmers for Slow-Onset Hazard: the Case of Saltwater Inundation in the Philippines and Vietnam,,,>1 ORO,x,,1,1/24/2023 7:56,-1,1/23/2023 21:22,1,1/24/2023 8:08,-1,1/23/2023 17:36,1,1/23/2023 15:56,,,,Yes -- enabling conditions,,,,,Yes. adapation measures to coastal innundation.,,,,,,,,,,,
35970742,198,Supply chain optimisation; Carbon capture and storage; Societal risk analysis; Risk mitigation measures; Hazardous CO2 transport,"European large stationary sources are currently emitting more than 1.4 Gt of CO2 every year. A significant decrease in greenhouse gases emissions cannot be achieved without carbon capture and sequestration (CCS) technologies. However, although being practiced for over 30 years, CO2 transportation is intrinsically characterised by the risk of leakage. This study proposes to assess and tackle this issue within the CCS design problem, by proposing a spatially explicit mixed integer linear programming approach for the economic optimisation of a European supply chain for carbon capture, transport and geological storage, where societal risk assessment is formally incorporated within the modelling framework. Post-combustion, oxy-fuel combustion and pre-combustion are considered as technological options for CO2 capture, whereas both pipelines (inshore and offshore) and ships are taken into account as transport means. Both inland-inshore and offshore injection options are available for carbon geological sequestration. Risk mitigation measures are considered in the design of the transport network. The overall supply chain is economically optimised for different minimum carbon reduction scenarios. Results demonstrate that accounting for societal risk may impact the overall carbon sequestration capacity, and that the proposed approach may represent a valuable tool to support policy makers in their strategic decisions.","Economic optimisation of European supply chains for CO2 capture, transport and sequestration, including societal risk analysis and risk mitigation measures",,,,1,,1,1/24/2023 7:59,1,1/23/2023 21:23,1,1/24/2023 8:09,1,1/23/2023 17:37,1,1/23/2023 15:57,,,,Unsure - relevant to cost of ocean storage & potential,,,,,Yes. Discussing offshore injection / carbon sequstration.,,,,,,,,,,,
35970743,5674,autonomous electrical networks; wind energy absorbance; wind potential; Weibull parameters; wind penetration constraints; stochastic analysis,"According to long-term wind speed measurements the Aegean Archipelago possesses excellent wind potential, hence properly designed wind energy applications can substantially contribute to fulfill the energy requirements of the island societies. On top of this, in Most islands the electricity production cost is extremely high, while significant insufficient power supply problems are often encountered, especially during the summer. Unfortunately, the stochastic behaviour of the wind and the important fluctuations of daily and seasonal electricity load pose a strict penetration limit for the contribution of wind energy in the corresponding load demand. The application of this limit is necessary in order to avoid hazardous electricity grid fluctuations and to protect the existing thermal power units from operating near or below their technical minima. In this context, the main target of the proposed study is to present an integrated methodology able to estimate the maximum wind energy penetration in autonomous electrical grids on the basis of the available wind potential existing in the Aegean Archipelago area. For this purpose a large number of representative wind potential types have been investigated and interesting conclusions have been derived. (C) 2007 Elsevier Ltd. All rights reserved.",The wind potential impact on the maximum wind energy penetration in autonomous electrical grids,,,,-1,,-1,1/24/2023 8:01,-1,1/23/2023 21:23,-1,1/24/2023 8:10,-1,1/23/2023 17:37,-1,1/23/2023 15:58,,,Unsure - could include offshore wind,Unsure whether directly relevant,,,,,Wind potential but not explicitely wind offshore. So not ORO.,,,,,,,,,,,
35970744,2231,Wind energy; Weibull distribution; wind assessment; annual energy production; present value of cost; GHG,"Four sites close to the Libyan coast were selected for technical and economical assessment of wind power generation using real measured wind data. The assessment was carried out using the Weibull distribution function and the Weibull parameters were calculated using three different methods; graphical method (GM), empirical method (EM) and maximum likelihood method (MLM). Error analyses using various techniques were conducted to check for the validity of the different Weibull methods used. The technical assessment includes the calculations of the annual energy production (AEP), capacity factor (C-f) and greenhouse gas emission (GHG) reduction. The estimated annual energy production was used in the calculation of the present value of cost which estimates the cost of each kWh of electricity produced by a certain wind turbine. The effect of the annual greenhouse gas emission reduction on the cost analysis was also considered. The results have shown the electricity cost of all the sites is below the world average electricity price. Using different Weibull parameters have noticeable effects on the technical and economical estimations of wind power production. The MLM method yields higher AEP estimation compared to the other methods for all the sites. On the other hand, GM method gives less estimation for the AEP compared to the other methods for all the sites. Adding the GHG reduction income into the electricity cost calculations decreases it by an average of 18\%.",Technical and Economical Evaluation and GHG Analysis of Wind Power Generation in Four Sites Using Different Weibull Parameters,,,,x,,1,1/24/2023 8:03,-1,1/23/2023 21:24,-1,1/24/2023 8:11,-1,1/23/2023 17:38,1,1/23/2023 15:59,,Unsure - coast could be offshore,,relevant to cost and potential,,,,,Wind Power generation potential. But not specifically offshore. So not ORO.,,,,,,,,,,,
35970745,2783,Resilient community; Sustainability; Container-modular-housing (CMH); Coastal-region; Resiliency,"Purpose This paper addresses housing problems of coastal areas in Bangladesh and investigates container-modular-housing (CMH) as a potential sustainable solution that establishes a resilient community. Design/methodology/approach Primary data highlight the underlying challenges of coastal-housing developed by monitoring the day-to-day operations of the community and conducting interviews with community members. Secondary data came from existing literature on coastal-housing rules and regulations, CMH and similar ideas. The study used a hypothetical CMH cluster design, with three primary objectives in mind: future settlement re-arrangement, economic sustainability and environmental sustainability. To achieve the objectives, the research used a comparative examination of the current constructed form and CMH, as well as a computer-aided simulation approach. Findings Primary findings encompass issues of a given coastal area, including surrounding site studies, sustainability and resiliency demands due to broad exposure to the natural calamities. Driving toward a ``CMH{''} based home design has the ability to create strategies for a resilient and sustainable community development while taking three primary objectives into account. Research limitations/implications A pilot project is needed to analyze the socio-cultural impact and overall construction feasibility. Practical implications This research could be implemented to transform an informal construction system into a technical, resilient, sustainable architectural and engineering solution to build resilient communities. Originality/value Numerous research projects have focused on the environmental sustainability of CMH. However, this study focuses on construction sustainability considering three major aspects which are yet to be addressed.",Construction sustainability of container-modular-housing in coastal regions towards resilient community,,,,1,,1,1/24/2023 8:05,1,1/23/2023 21:25,1,1/24/2023 8:12,1,1/23/2023 17:39,1,1/23/2023 16:00,,,,,,,,,Probably at the edge... Biut addressing adaptation option for coastal infrastructure (housing).,,,,,,,,,,,
35970746,3978,Microbial desalination cells; cascade process; salt removal; bioelectricity generation,"A novel two chamber up-flow microbial desalination cell (UMDC) was designed for evaluating desalination of real seawater with simultaneous wastewater treatment and energy generation. Two UMDCs were hydraulically connected in continuous flow mode (cascade mode) and operated at ten different hydraulic retention times (HRTs) {[}120 h to 12 h] and salt retention times (SRTs) {[}40 h to 4 h] for improved performance of chemical oxygen demand (COD) and salt removal. These UMDCs were operated at different combinations of high power (higher external resistance) and high current (low external resistance) mode to find the most suitable conditions for obtaining higher COD removal, salt removal, power production and current generation. The optimum HRT and SRT were 60 h and 40 h, respectively. The highest salt removal achieved was 72\% at SRT of 40, while the highest COD removal was 83\% at a HRT of 60 h. A maximum current density of 2.375 A/m(2) was obtained, while the maximum power density was 5.879 W/m(2). The obtained results give an overlook for the scale up of UMDCs in the future. In the entire system, membrane fouling is still a major problem. As the operation time increases, this resulted in low power generation and low salt removal efficiency. The UMDCs can function as sustainable and alternative solution for real wastewater treatment and seawater desalination with resource recovery and power production.",Improved salt removal and power generation in a cascade of two hydraulically connected up-flow microbial desalination cells,,,,x,,1,1/24/2023 8:07,-1,1/23/2023 21:27,-1,1/24/2023 8:13,-1,1/23/2023 17:40,-1,1/23/2023 16:01,,,Yes- includes energy generation to mitigate,Yes - estimate of energy generation,,,,,Not focusing on climate. So not ORO.,,,,,,,,,,,
35970747,4742,NA,"Based on theoretical analysis, numerical simulations and experimental results, the paper outlines a self-consistent physics picture of the island divertor transport in W7-AS, as it emerges from the present understanding, documented over the past several years of theoretical and experimental research on the subject. Key function elements of a divertor, such as particle flux enhancement, neutral screening, impurity retention, thermal power removal via impurity line radiation and detachment, are examined for the island divertor and assessed with respect to tokamak divertors. The paper focuses on describing the global scrape-off layer (SOL) transport behaviour associated with the specific island topology and aims at illustrating the elementary differences and similarities in divertor physics between a tokamak and a typical helical device. Shown and analysed are also the correlation between the SOL and core plasma and the role of the island divertor for improving the global plasma performance. Discussion is mainly based on simple models and estimations, while three-dimensional modelling calculations serve only for control of self-consistency and for determining basic functional dependences not accessible otherwise. The island divertor physics is presented within a theoretical frame with most key issues, however, being related to experimental results.",Physics of island divertors as highlighted by the example of W7-AS,,,,-1,,-1,1/24/2023 8:09,-1,1/23/2023 21:30,-1,1/24/2023 8:14,-1,1/23/2023 17:40,-1,1/23/2023 16:02,,,Not linked to cc mitigation or adaptation,,,,,,"Not climate, not ocean.",,,,,,,,,,,
35970748,1975,NA,"The increase of concentration of carbon dioxide and other greenhouse gases in the atmosphere will certainly affect hydrological regimes. Global warning is thus expected to have major implications on water resources management. Our objective is to present a general approach to evaluate the effect of potential climate changes on groundwater resources. In the current stage of knowledge, large-scale global climate models are probably the best available tools to provide estimates of the effects of raising greenhouse gases on rainfall and evaporation patterns through a continuous, three dimensional simulation of atmospheric, oceanic and cryospheric processes. However their spatial resolution (generally some thousands of square kilometers) is not compatible with that of watershed hydrologic models. The main purpose of this study is to evaluate the impact of potential climate changes upon groundwater resources. A general methodology is proposed in order to disaggregate outputs of large-scale models and thus to make information directly usable by hydrologic models. As an illustration, this method is applied to a CO2-doubling scenario through the development of a local weather generator, although many uncertainties are not yet assessed about the results of climate models. Two important hydrological variables: rainfall and potential evapotranspiration are thus generated. They are then used by coupling with a physically based hydrological model to estimate the effects of climate changes on groundwater recharge and soil moisture in the root zone.",Evaluation of the impact of climate changes on water storage and groundwater recharge at the watershed scale,,,,-1,,-1,1/24/2023 8:10,-1,1/23/2023 21:30,-1,1/24/2023 8:15,-1,1/23/2023 17:41,-1,1/23/2023 16:03,,No - groundwater/land,,,,,,,"Impact on climate change on groundwater. Not ocean, no solution.",,,,,,,,,,,
35970749,5490,Thermal preferences; Realized thermal niche; Niche conservatism; Local adaptation; Crustacean; Fish; Octopus maya,"Temperature is recongnised as the main factor controlling the species fitness and performance. Naturally, the thermal preferences (TP) of aquatic organisms obtained in controlled conditions have been used to relate physiological performance with field data since they are a good proxy to the fundamental niche. Literature suggests that dispersal capabilities, biological interactions, acclimatisation, adaptation, among others might play a role in species distribution; thus, in reality, species are usually occupying a realized thermal niche (RTN). Therefore, this study was designed to inquire into the following questions: Are the TP of tropical aquatic ec-totherms found in laboratory conditions similar to their RTN? Can TP be validated with occurrences in the wild? To answer these questions, this study compared the TP obtained from previously published works with the RTN of the crabs Callinectes similis and C. sapidus, the fishes Centropomus undecimalis and Ocyurus chrysurus, the lobster Panulirus argus, and the octopus Octopus maya obtained from occurrences from 1693documents. When RTN values were tested against the TPs obtained in laboratory, no significant differences were found for fish species (P > 0.05); in contrast, differences for the benthic invertebrates were reported (P < 0.05). At least two factors could have been affecting these results: differences in the average tolerances between geographically distinct populations (local adaptation) and the dispersal capabilities that might have been forcing a differentiation between populations If, as proposed, fishes can actively follow thermal optimum, their response to warming scenarios could be faster than benthic organisms. If our hypothesis is true, the uncertainty of climate change could be reduced when the local adaptation is taking into consideration.",Using realized thermal niche to validate thermal preferences from laboratory studies. How do they stand?,,,,-1,,-1,1/24/2023 8:11,-1,1/23/2023 21:33,-1,1/24/2023 8:16,-1,1/23/2023 17:42,-1,1/23/2023 16:04,,,No action,,,,,,Not discussing ocean related option. But biological adaptation.,,,,,,,,,,,
